company,count,share_%
ЧП «ШАТЕ-М ПЛЮС»,6,8.8
"ООО ""ЛАНИТ-Интеграция""",4,5.9
ООО ``ЛАНИТ-Интеграция'',3,4.4
Revizto --- Global BIM Collaboration Platform,3,4.4
Luxoft,2,2.9
Top Selection (Consulting Agency),2,2.9
SberKorus,2,2.9
Restaurant and Cafe Chain,2,2.9
R-Style Softlab,2,2.9
WN Talents,2,2.9
Национальный банк внешнеэкономической деятельности Республики Узбекистана,2,2.9
Сбер,2,2.9
STRATOPLAN MANAGEMENT SCHOOL,2,2.9
Rolling Moto,2,2.9
ООО «СТО СОФТ»,2,2.9
QAExpert,2,2.9
VDI,2,2.9
UMC,2,2.9
DevZeroG,2,2.9
TechnoInfoService,2,2.9
ABC,2,2.9
Частная практика,2,2.9
amoCRM,2,2.9
Yandex,2,2.9
Innotech,2,2.9
Peaceful Lights (Annual Music Film),2,2.9
Institute for Northern Archaeology (Russia),2,2.9
GAZ Gorky Automotive Plant,2,2.9
Abris Development Group,2,2.9
Abris Management,2,2.9
