current_job_title_filled,count,share_%
Not specified,198,94.7
Business Process Analyst,1,0.5
Директор по производству,1,0.5
Head of Real Estate Development,1,0.5
"Senior UX Researcher, Team Lead",1,0.5
Independent Research (migration \& education),1,0.5
"Head of Video Production (07.2024 -- 12.2025) \,|\, Video Producer (12.2023 -- 07.2024)",1,0.5
Бизнес-аналитик (ERP Microsoft Dynamics NAV),1,0.5
GameDev Recruiter,1,0.5
Лидер розничного кредитования,1,0.5
Managing partner and CEO,1,0.5
Психолог-консультант,1,0.5
