skill,count,share_%
Owner-Side Development Management,1,5.0
Feasibility & Due Diligence,1,5.0
Envision,1,5.0
WELL,1,5.0
LEED,1,5.0
ITACA,1,5.0
Green Building (CasaClima,1,5.0
Value Engineering,1,5.0
Building Performance & Energy Efficiency,1,5.0
Asset & Property Management,1,5.0
Commissioning & Handover,1,5.0
Construction Supervision,1,5.0
Schedule & Risk Control,1,5.0
Cost,1,5.0
Contract Administration,1,5.0
Procurement & Tendering,1,5.0
Permitting & Entitlements,1,5.0
Design Management,1,5.0
Concept & Business Planning,1,5.0
Stakeholder Management,1,5.0
