title_keyword,count,share_%
бизнес,6,7.5
аналитик,6,7.5
erp microsoft dynamics nav,6,7.5
business process analyst,4,5.0
07.2024,4,5.0
tech recruiter,4,5.0
senior ux researcher,4,5.0
исполнительный директор,2,2.5
associate producer,2,2.5
line producer,2,2.5
volunteer,2,2.5
специалист по сопровождению экспортных продаж,2,2.5
hr manager,2,2.5
it recruiter,2,2.5
gamedev recruiter,2,2.5
лидер розничного кредитования,2,2.5
экосистема недвижимости домклик,2,2.5
employed,2,2.5
региональный менеджер по продажам,2,2.5
managing partner and ceo,2,2.5
head of education center,2,2.5
chief technology officer,2,2.5
cto,2,2.5
ceo and co,2,2.5
qa lead,2,2.5
специалист по обучению и сопровождению,2,2.5
психолог,2,2.5
ведущий инженер,2,2.5
рекрутер,2,2.5
тест,2,2.5
