job_title,count,share_%
Бизнес-аналитик (ERP Microsoft Dynamics NAV),6,9.2
Business Process Analyst,4,6.2
Tech Recruiter,4,6.2
Региональный менеджер по продажам,2,3.1
HR Manager,2,3.1
IT Recruiter,2,3.1
GameDev Recruiter,2,3.1
Лидер розничного кредитования,2,3.1
Managing partner and CEO,2,3.1
Content Creator,2,3.1
Head of education center,2,3.1
Chief Technology Officer (CTO),2,3.1
QA lead,2,3.1
Специалист по обучению и сопровождению,2,3.1
Психолог-консультант,2,3.1
IT-рекрутер,2,3.1
Специалист по сопровождению экспортных продаж,2,3.1
Исполнительный директор (Экосистема недвижимости Домклик),2,3.1
UX Researcher,2,3.1
Director of Corporate Property,2,3.1
Head of Real Estate Development,2,3.1
Research Project Manager,2,3.1
UX and Marketing Researcher,2,3.1
Senior UX Researcher,2,3.1
"Senior UX Researcher, Team Lead",2,3.1
Директор по производству,2,3.1
Managing Director,2,3.1
"Research Associate (Archaeology): organized and supervised field expeditions; scientific analysis, reporting, and presentation of results.",1,1.5
Founder \& Executive Producer (Self-employed),1,1.5
Teacher of History and Social Studies: project-based teaching; supported heterogeneous learning groups and special educational needs.,1,1.5
