tool,count,share_%
Miro,2,7.1
Figma,2,7.1
KPI Dashboards (MS Excel,1,3.6
SQL,1,3.6
Управление эффективностью,1,3.6
FCR,1,3.6
CES,1,3.6
NPS,1,3.6
Клиентский сервис (CSI,1,3.6
Оптимизация бизнес-процессов,1,3.6
Digital Sales Strategy,1,3.6
Jira,1,3.6
GitHub,1,3.6
Azure DevOps,1,3.6
Excel (advanced,1,3.6
Bitrix24 (CRM/Workflow/Task tracking,1,3.6
Data visualization and storytelling,1,3.6
NPS and CSAT measurement,1,3.6
JTBD,1,3.6
personas,1,3.6
Segmentation,1,3.6
Customer journey mapping (CJM,1,3.6
BIM & Digital Twin,1,3.6
Notion,1,3.6
Confluence,1,3.6
Сегментация рынка и маркетинговые кампании,1,3.6
