company_norm,count,company_display
Not Specified,203,Not specified
Сбер,4,Сбер
Bostongene,3,BostonGene
Delta Distribution,3,Delta Distribution LLC
Lyft,3,Lyft
Coherent Solutions,3,Coherent Solutions
Intelliverse,3,IntelliVerse
Wargaming,3,Wargaming
Avo Services And Technology,3,AVO Services and Technology
S-Hub Startup Accelerator,3,S-HUB Startup Accelerator
Epam Systems,3,EPAM Systems
Bank Centercredit,2,Bank CenterCredit
Проектная Деятельность,2,Проектная деятельность
Илада Груп,2,ООО ``ИЛАДА ГРУП''
Bar Association Right Side,2,Bar Association ``Right Side''
Национальный Банк Внешнеэкономической Деятельности Республики Узбекистана,2,Национальный банк внешнеэкономической деятельности Республики Узбекистана
Flo Health,2,Flo Health
Beamtrail,2,BeamTrail
Freelance,2,Freelance
Далее,2,Далее
Гк Иннотех,2,ГК ИННОТЕХ
Engineering And Manufacturing Solutions Jsc,2,Engineering and Manufacturing Solutions JSC
Enwardo,2,Enwardo
"Газпромбанк,",2,"Газпромбанк, ОАО"
Deephouse,2,DeepHouse
Ecom.Tech,2,Ecom.tech
Sberbank,2,Sberbank
Автобейс,2,ООО ``Автобейс''
Metalamp,2,MetaLamp
Ит Стартап Компания (B2B И B2C Направления),2,ИТ стартап компания (B2B и B2C направления)
Data Analytics Experience & Projects,2,Data Analytics Experience \& Projects
Pwc,2,PwC
Yandex,2,Yandex
Grid Dynamics,2,Grid Dynamics
"Иннотех, Группа Компаний",2,"Иннотех, Группа компаний"
«Спецхимия» (Гк Ростех),2,АО «СПЕЦХИМИЯ» (ГК Ростех)
Modsen Software Development Company,2,Modsen Software Development Company
Philosophy It,2,OOO ``Philosophy IT''
Тоо Wisk Telecom Solutions,2,ТОО ``Wisk Telecom Solutions''
Частная Практика,2,Частная практика
Vellestroy,1,Vellestroy LLC
Uforce,1,uForce
Umag,1,Umag
Ubq.Store,1,ubq.store
Union --- Ai Saas,1,Union --- AI SaaS
Veido,1,LLC Veido
Vention,1,Vention
Unicorn,1,Unicorn
Vameon,1,VAMEON
Usetech,1,USETECH
Up Menu,1,UP MENU
University Lean Six Sigma,1,University Lean Six Sigma
Underd O G --- Concept Bar,1,UNDERD\O G --- concept bar
111Pg,1,111PG
Vigor Maker,1,Vigor Maker
X5 Digital,1,X5 Digital
«Банковско-Финансовая Телесеть»,1,ЗАО «Банковско-финансовая телесеть»
«Альдерасофт»,1,ООО «АльдераСофт»
Zodiac Интерьер&Керамика,1,Zodiac Интерьер\&Керамика
Zmeusolutions . (Online Education Start-Up),1,ZmeuSolutions Inc. (Online Education Start-Up)
Zion Development --- Fintech Software Development (Under Nda),1,ZION Development --- FinTech software development (under NDA)
Zentek Services Gmbh & Co.,1,Zentek Services GmbH \& Co.
Zamwell Capital,1,Zamwell Capital
Yango (Yango Ads),1,Yango (Yango Ads)
Xsat Global,1,XSAT GLOBAL
Xlash Russia,1,XLASH Russia
X,1,X
Viva La Vika / Choux,1,VIVA LA VIKA / CHOUX
Women In Tech Spain,1,Women in Tech Spain
Wn Talents,1,WN Talents
Wildberries,1,Wildberries
Welltory,1,Welltory
Weilit Marine Engineering,1,LTD WeilIt Marine Engineering
Walls.Io,1,Walls.io
Volkswagen Ag,1,Volkswagen AG
Vkusvill,1,VkusVill
Vk,1,VK
Viva La Vika/Choux,1,VIVA LA VIKA/CHOUX
Vmt,1,VMT
Tengizchevroil,1,Tengizchevroil
Tumo Labs,1,TUMO Labs
Scandiweb,1,Scandiweb
Skillbox,1,Skillbox
Sk Hynix Memory Solutions Eastern Europe,1,SK hynix Memory Solutions Eastern Europe
Sigli,1,Sigli
Sibelco,1,Sibelco
Shiphawk,1,ShipHawk
Sensorium Corporation,1,Sensorium Corporation
Self-Employed,1,Self-Employed
Selecty,1,Selecty
Sciencesoft,1,ScienceSoft
Schwarz It Kg,1,Schwarz IT KG
Schlumberger,1,Schlumberger
Scentscape,1,SCENTSCAPE
"Sberbank --- Corporate Banking, Corporate Solutions Center",1,"Sberbank --- Corporate Banking, Corporate Solutions Center"
Slon Media,1,SLON Media
Sap Enterprise Cloud Services,1,SAP Enterprise Cloud Services
Sam Solutions,1,SaM Solutions
Sage,1,Sage
Saber Interactive,1,Saber Interactive
Rolf Tech,1,Rolf Tech
Robotattacs,1,RobotAttacs
Riverbank S.A.,1,Riverbank S.A.
Rightech (Iot Saas Platform),1,Rightech LLC (IoT SaaS platform)
Richemont Sa (Meiat Regional Hq),1,Richemont SA (MEIAT Regional HQ)
Rewatt Tech,1,REWATT TECH LLC
Revizto --- Global Bim Collaboration Platform,1,Revizto --- Global BIM Collaboration Platform
Restaurant And Cafe Chain,1,Restaurant and Cafe Chain
Skyeng,1,Skyeng
Smart Driving Labs,1,Smart Driving Labs
Top Tier Authentics,1,Top Tier Authentics
Srdi Caspiy Munay Gas Jsc,1,SRDI ``Caspiy Munay Gas'' JSC
Tony Lead Company,1,Tony Lead Company
Toloka,1,Toloka
Ti̇Tan2 Ic İÇtaş İNşaat,1,TİTAN2 IC İÇTAŞ İNŞAAT
The Invaders,1,The Invaders
Tet Sia,1,Tet SIA
«Инлайн Груп»,1,АО «ИНЛАЙН ГРУП»
Teachbase,1,Teachbase
