company_raw,company_norm,count
BostonGene,bostongene,3
Coherent Solutions,coherent solutions,3
Delta Distribution LLC,delta distribution,3
EPAM Systems,EPAM,3
IntelliVerse,intelliverse,3
Lyft,LYFT,3
S-HUB Startup Accelerator,s hub startup accelerator,3
Wargaming,wargaming,3
Сбер,Сбер,3
Bank CenterCredit,bank centercredit,2
Bar Association ``Right Side'',bar association right side,2
Data Analytics Experience \& Projects,data analytics experience and projects,2
DeepHouse,deephouse,2
Ecom.tech,ecom tech,2
Engineering and Manufacturing Solutions JSC,engineering and manufacturing solutions,2
Enwardo,enwardo,2
Flo Health,flo health,2
Freelance,freelance,2
Grid Dynamics,grid dynamics,2
MetaLamp,metalamp,2
Modsen Software Development Company,modsen software development,2
PwC,PWC,2
Sberbank,Сбер,2
Yandex,Яндекс,2
ГК ИННОТЕХ,гк иннотех,2
"Газпромбанк, ОАО",Газпромбанк,2
Далее,ДАЛЕЕ,2
ИТ стартап компания (B2B и B2C направления),ит стартап компания b2b и b2c направления,2
"Иннотех, Группа компаний",иннотех группа компании,2
Национальный банк внешнеэкономической деятельности Республики Узбекистана,национальныи банк внешнеэкономическои деятельности республики узбекистана,2
ООО ``Автобейс'',автобеис,2
ООО ``ИЛАДА ГРУП'',илада груп,2
Проектная деятельность,проектная деятельность,2
Частная практика,частная практика,2
111PG,111PG,1
28Stone (Contractor),28stone contractor,1
A1,A1,1
AFI Development,afi development,1
AI Assistant Project (Retail),ai assistant project retail,1
AI Designer / Creative Producer (IQOS global initiatives),ai designer creative producer iqos global initiatives,1
ALVAREZ \& MARSAL Middle East,alvarez and marsal middle east,1
APLANA IT,aplana it,1
ATG,ATG,1
AWATERA,awatera,1
A\&K American Educational Consulting (американский EdTech startup),a and k american educational consulting американскии edtech startup,1
Aaron Metals,aaron metals,1
Abris Management,abris management,1
Accent Capital,accent capital,1
Adrenalin,adrenalin,1
Ag.ru,ag ru,1
Agrodigit (Subsidiary of Rostselmash),agrodigit subsidiary of rostselmash,1
Airport Management Company Ltd,airport management,1
"Aldi S\""ud International IT",aldi s ud international it,1
Alfa-Bank Belarus,alfa bank belarus,1
AliExpress Россия,aliexpress россия,1
Alibaba Group (Logistics branch),alibaba logistics branch,1
Allur,ALLUR,1
Alvarez \& Marsal,alvarez and marsal,1
Ambula Health,ambula health,1
Andersenlab,andersenlab,1
Appcast,appcast,1
Arateg,arateg,1
Aravt Group,ARAVT,1
ArcelorMittal JSC; KurylysMet (Arcelor) LLP; QarMet JSC,arcelormittal kurylysmet arcelor llp qarmet,1
"Astro7 (бренды Astro7, Aura7)",astro7 бренды astro7 aura7,1
Astrum Entertainment,astrum entertainment,1
Atos Poland Global Services,atos poland global services,1
Auriga,auriga,1
Avanade (JV Accenture/Microsoft),avanade jv accenture microsoft,1
Avito,Avito,1
Avodeal LLC (US-based),avodeal us based,1
BP Mobile,bp mobile,1
Backbase,backbase,1
Bayhan / Second Home,bayhan second home,1
Bcraft,bcraft,1
BeamTrail,beamtrail,1
Beamtrail,beamtrail,1
BearingPoint,bearingpoint,1
Biedronka,biedronka,1
Big Data engineering,big data engineering,1
BlueVoyant (Cyber Security global company),bluevoyant cyber security global,1
BramblingTech,bramblingtech,1
"Budushchee Tekhnologiy LLC (T1 Holding, Innotech Group)",budushchee tekhnologiy t1 innotech,1
CIAN,CIAN,1
Canvas Reply,canvas reply,1
Career break,career break,1
"Central Aerohydrodynamic Institute (TsAGI), Strength \& Durability Division",central aerohydrodynamic institute tsagi strength and durability division,1
"Centromash, международная компания по сертификации товаров и услуг",centromash международная компания по сертификации товаров и услуг,1
Chevron (Tengiz Asset),chevron tengiz asset,1
Chevron Corporation,chevron corporation,1
Cinematic Pixel,cinematic pixel,1
Civitta CA,civitta ca,1
CleverData (Lanit / Lansoft),cleverdata lanit lansoft,1
Cloud.ru,cloud ru,1
Codexplore,codexplore,1
Company LLC,Not specified,1
Confidential,confidential,1
Consultant in Product Management,consultant in product management,1
Credo-Dialogue,credo dialogue,1
D43 Group,D43,1
DAR,DAR,1
DKN Monteurzimmer GmbH,dkn monteurzimmer,1
Danieli,danieli,1
Datanomix.pro,datanomix pro,1
DeFi Perps Aggregator,defi perps aggregator,1
Dialogue by Pheon,dialogue by pheon,1
Digital Finance International,digital finance international,1
Digital Industrial Technologies,digital industrial technologies,1
Dogma,DOGMA,1
DotGov Solutions LLC,dotgov solutions,1
Dualboot Partners LLC,dualboot partners,1
Dubizzle Group --- Bayut \& Dubizzle,dubizzle bayut and dubizzle,1
"ENECA, отдел ``Искусственного интеллекта''",eneca отдел искусственного интеллекта,1
ENTER Engineering Pte. LTD,enter engineering pte,1
EPAM,EPAM,1
Easy in IT | Daniil Nikolaev,easy in it daniil nikolaev,1
Ecom.tech (Samokat.tech),ecom tech samokat tech,1
Effective mobile,effective mobile,1
Elanco Rus (Eli Lilly),elanco rus eli lilly,1
Elemtat,elemtat,1
Ellara,ellara,1
EmTalk,emtalk,1
Ernst \& Young,ernst and young,1
Est\'ee Lauder,est ee lauder,1
Eurochem Group (Digital Technologies and Platforms),eurochem digital technologies and platforms,1
Everwest UAB (Girteka logistics group),everwest uab girteka logistics,1
FLATLOGIC (Web and Mobile Development),flatlogic web and mobile development,1
Fingular,fingular,1
First Service Residential,first service residential,1
"Free Zone Authority, Government of Ajman",free zone authority government of ajman,1
Freelance (NDA),freelance nda,1
Freelancer (Remote),freelancer remote,1
Full-cycle software development company (Healthcare \& Finance),full cycle software development healthcare and finance,1
FundCount Group LLC,fundcount,1
G5 Entertainment AB,g5 entertainment ab,1
GAMZ B.V.,GAMZ,1
GAODI \& Brusnika Soft,gaodi and brusnika soft,1
GS STUDI LTD,gs studi,1
GXO Logistics (Primark client),gxo logistics primark client,1
Gazprom Neft,Газпром нефть,1
Gigalegal,gigalegal,1
Glambook,glambook,1
GlobalFoundries,globalfoundries,1
Group,Not specified,1
Gurnick Academy,gurnick academy,1
HR Consultant (Self-Employed),hr consultant self employed,1
HUAWEI,huawei,1
HeadHunter Group,headhunter,1
HealthTech/IoT Mobile App (ThingsBoard with FHIR/Medplum integration),healthtech iot mobile app thingsboard with fhir medplum integration,1
Heinemann Duty Free \& Travel Retail,heinemann duty free and travel retail,1
Hewlett Packard Enterprise,hewlett packard enterprise,1
Home Credit Bank (home.kz),home credit bank home kz,1
Hotline (ECommerce Startup),hotline ecommerce startup,1
Human Apps Ltd.,human apps,1
"Hyperboloid, Inc",hyperboloid,1
ILF Consulting Engineers,ilf consulting engineers,1
INNOTECH (Digital Banking Solution by CNews IT),innotech digital banking solution by cnews it,1
IT Project Manager (Contract Assignments),it project manager contract assignments,1
Ikano Centres (Ikano Retail | IKEA),ikano centres ikano retail ikea,1
"Impress (Healthcare; B2C, B2B, E-commerce, E-Health)",impress healthcare b2c b2b e commerce e health,1
In8inity Telecom,in8inity telecom,1
Independent Practice,independent practice,1
Independent Practice / Freelance,independent practice freelance,1
Independent QA Projects,independent qa projects,1
"Innotech Group (FinTech, 10K+ employees)",innotech fintech 10k+ employees,1
Insilico Medicine,insilico medicine,1
International FinTech Scale-up,international fintech scale up,1
Invitae Corp (via QuantumSoft LLC),invitae via quantumsoft,1
IvAlive Foundation,ivalive foundation,1
JSC SberTech,sbertech,1
Jaguar Land Rover Overseas,jaguar land rover overseas,1
Japan Tobacco International,japan tobacco international,1
Jetcode,jetcode,1
KOMUS,Komus,1
"KPMG Switzerland, Accounting Advisory Services",kpmg switzerland accounting advisory services,1
Kaseya,kaseya,1
Kokoc Group,KOKOC,1
Kontur,kontur,1
LCC GEN (мультибрендовый холдинг в сфере гостеприимства),lcc gen мультибрендовыи холдинг в сфере гостеприимства,1
LLC GISGIS,gisgis,1
LLC LUKOMORYE-MAGADAN,lukomorye magadan,1
LLC Promio,promio,1
LLC Veido,VEIDO,1
LSG Group,LSG,1
LTD WeilIt Marine Engineering,weilit marine engineering,1
La Lorraine Bakery Group,la lorraine bakery,1
La Redoute,la redoute,1
Lactalis Group,lactalis,1
"Large diversified holding (Top-50 Forbes), NDA",large diversified top 50 forbes nda,1
Larixon Classified (200+ сотрудников),larixon classified 200+ сотрудников,1
Level garden,level garden,1
Libertex Group,libertex,1
Luxoft,luxoft,1
M Cosmetic Узбекистан (ПАО Магнит),m cosmetic узбекистан магнит,1
M-Files (via Ment acquisition),m files via ment acquisition,1
MIRA Search,mira search,1
MSD Pharmaceuticals Russia (Merck subsidiary),msd pharmaceuticals russia merck subsidiary,1
MadOut Games,madout games,1
Madlan,madlan,1
Major Systems Integrator,major systems integrator,1
Mantera Travel (ГК «Мантера»),mantera travel гк мантера,1
"Manticore Search (open-source search engine, 11.6K GitHub stars)",manticore search open source search engine 11 6k github stars,1
Mars Pet Nutrition Russia,mars pet nutrition russia,1
McDonald's,mcdonald s,1
MedGroupLT,medgrouplt,1
Migron,migron,1
Miro (Collaboration platform),miro collaboration platform,1
Moots AI,moots ai,1
NCR Voyix,ncr voyix,1
NDA (Online casino team backed by a large entertainment holding),nda online casino team backed by a large entertainment,1
NDA (Web3),nda web3,1
NFON AG,nfon ag,1
NIL Foundation,nil foundation,1
NIS (Naftna Industrija Srbije),nis naftna industrija srbije,1
NLMK Group (iron and steel production),nlmk iron and steel production,1
NOTO360 (Fraud \& Compliance),noto360 fraud and compliance,1
NSIGN,NSIGN,1
NSYS Group,NSYS,1
Nemax Finance,nemax finance,1
NeoFleet Capital,neofleet capital,1
Netcracker Technology,netcracker technology,1
Nexters,nexters,1
Nova-engineering,nova engineering,1
Novaterm LLC (производство отопительного оборудования),novaterm производство отопительного оборудования,1
OOO ``Philosophy IT'',philosophy it,1
OTP Bank,otp bank,1
OTUS (Online Education),otus online education,1
OVB Allfinanz Espa\~na,ovb allfinanz espa ~na,1
"Obed.ru (foodtech startup), subsidiary of Vkusvill",obed ru foodtech startup subsidiary of vkusvill,1
Okkam (ex. Dentsu),okkam ex dentsu,1
Orangesoft,orangesoft,1
Organization for Security and Co-operation in Europe (OSCE),organization for security and operation in europe osce,1
Ortalex (консалтинг),ortalex консалтинг,1
Outsource Company,outsource,1
PERFECT AUTO,perfect auto,1
PROMAVTO Group --- R\&D Center,promavto r and d center,1
PST Home GmbH,pst home,1
ParanoidLab,paranoidlab,1
Parqour (Parking Management and Automation Services Provider),parqour parking management and automation services provider,1
PayU (Prosus/Naspers Group),payu prosus naspers,1
Paycon.su,paycon su,1
Paynet,paynet,1
Paysera LTD,paysera,1
Philosophy IT LLC,philosophy it,1
Pick Your Pour,pick your pour,1
Platformeco,platformeco,1
Playtika,playtika,1
Potok.digital (ex Alfa.Potok),potok digital ex alfa potok,1
Praktika.ai,praktika ai,1
Private Villa,private villa,1
ProIntegracia LLC,prointegracia,1
Professional Development,professional development,1
Professional Home Health Services LLC,professional home health services,1
ProhorovaConsult,prohorovaconsult,1
"Project-Based Advisor (EdTech, HRTech, Startup Acceleration)",project based advisor edtech hrtech startup acceleration,1
Promax Service Group Inc,promax service,1
Provider of digital solutions to transform the vehicle conversion market,provider of digital solutions to transform the vehicle conversion market,1
QTECH,QTECH,1
Qaz code Company,qaz code,1
REWATT TECH LLC,rewatt tech,1
Raiffeisenbank,raiffeisenbank,1
Reach (International Merchant of Record),reach international merchant of record,1
Redhill Games,redhill games,1
Rembox,rembox,1
Restaurant and Cafe Chain,restaurant and cafe chain,1
Revizto --- Global BIM Collaboration Platform,revizto global bim collaboration platform,1
Richemont SA (MEIAT Regional HQ),richemont sa meiat regional hq,1
Rightech LLC (IoT SaaS platform),rightech iot saas platform,1
Riverbank S.A.,riverbank s a,1
RobotAttacs,robotattacs,1
Rolf Tech,rolf tech,1
SAP Enterprise Cloud Services,sap enterprise cloud services,1
SCENTSCAPE,scentscape,1
SK hynix Memory Solutions Eastern Europe,sk hynix memory solutions eastern europe,1
SLON Media,slon media,1
SOFTSWISS,softswiss,1
SRDI ``Caspiy Munay Gas'' JSC,srdi caspiy munay gas,1
STRABAG BRVZ GmbH \& Co. KG,strabag brvz and kg,1
STRATOPLAN MANAGEMENT SCHOOL,stratoplan management school,1
SaM Solutions,sam solutions,1
Saber Interactive,saber interactive,1
Sage,SAGE,1
"Sberbank --- Corporate Banking, Corporate Solutions Center",Сбер,1
Scandiweb,scandiweb,1
Schlumberger,schlumberger,1
Schwarz IT KG,schwarz it kg,1
ScienceSoft,sciencesoft,1
Selecty,selecty,1
Self-Employed,self employed,1
Sensorium Corporation,sensorium corporation,1
ShipHawk,shiphawk,1
Sibelco,sibelco,1
Sigli,SIGLI,1
Skillbox,skillbox,1
Skyeng,skyeng,1
Smart Driving Labs,smart driving labs,1
Smoove,smoove,1
Snip Technologies,snip technologies,1
Social Discovery Group,social discovery,1
Social research (focus migration \& integration),social research focus migration and integration,1
SoftClub Ltd.,softclub,1
Softeq,softeq,1
Softline,softline,1
SolaaX,solaax,1
Solar,SOLAR,1
Solva Technology Ltd.,solva technology,1
Soramitsu,soramitsu,1
Sportmaster Lab,sportmaster lab,1
Sravni.ru,sravni ru,1
Start X,START,1
TBC Uzbekistan (Финтех),tbc uzbekistan финтех,1
TUMO Labs,tumo labs,1
Teachbase,teachbase,1
Tengizchevroil,tengizchevroil,1
Tet SIA,tet sia,1
The Invaders,the invaders,1
Toloka,toloka,1
Tony Lead Company,tony lead,1
Top Tier Authentics,top tier authentics,1
TİTAN2 IC İÇTAŞ İNŞAAT,titan2 ic ictas insaat,1
UNDERD\O G --- concept bar,underd o g concept bar,1
UP MENU,up menu,1
USETECH,usetech,1
Umag,UMAG,1
Unicorn,unicorn,1
Union --- AI SaaS,union ai saas,1
University Lean Six Sigma,university lean six sigma,1
VAMEON,vameon,1
VIVA LA VIKA / CHOUX,viva la vika choux,1
VIVA LA VIKA/CHOUX,viva la vika choux,1
VK,VK,1
VMT,VMT,1
Vellestroy LLC,vellestroy,1
Vention,vention,1
Vigor Maker,vigor maker,1
VkusVill,vkusvill,1
Volkswagen AG,volkswagen ag,1
WN Talents,wn talents,1
Walls.io,walls io,1
Welltory,welltory,1
Wildberries,wildberries,1
Women in Tech Spain,women in tech spain,1
X,Not specified,1
X5 Digital,x5 digital,1
XLASH Russia,xlash russia,1
XSAT GLOBAL,xsat global,1
Yango (Yango Ads),yango yango ads,1
ZION Development --- FinTech software development (under NDA),zion development fintech software development under nda,1
Zamwell Capital,zamwell capital,1
Zentek Services GmbH \& Co.,zentek services and,1
ZmeuSolutions Inc. (Online Education Start-Up),zmeusolutions online education start up,1
Zodiac Интерьер\&Керамика,zodiac интерьер and керамика,1
beeline Russia,beeline russia,1
"ecom.tech (Самокат, ООО «Умное пространство»)",ecom tech самокат умное пространство,1
makelove employer branding agency,makelove employer branding agency,1
stroyportal.ru,stroyportal ru,1
uForce,uforce,1
ubq.store,ubq store,1
Ёлва,ЕЛВА,1
А101 диджитал,а101 диджитал,1
АЙФЭЛЛ (iFellow),аифэлл ifellow,1
