company,count,share_%
Not specified,205,28.1
Coherent Solutions,3,0.4
S-HUB Startup Accelerator,3,0.4
Wargaming,3,0.4
EPAM Systems,3,0.4
BostonGene,3,0.4
Delta Distribution LLC,3,0.4
IntelliVerse,3,0.4
Сбер,3,0.4
Lyft,3,0.4
Data Analytics Experience & Projects,2,0.3
Национальный банк внешнеэкономической деятельности Республики Узбекистана,2,0.3
Sberbank,2,0.3
"ООО ""Автобейс""",2,0.3
Engineering and Manufacturing Solutions JSC,2,0.3
"Иннотех, Группа компаний",2,0.3
Flo Health,2,0.3
Фриланс (Литва/РБ),2,0.3
Проектная деятельность,2,0.3
Yandex,2,0.3
"ООО ""ИЛАДА ГРУП""",2,0.3
Freelance,2,0.3
"Газпромбанк, ОАО",2,0.3
Modsen Software Development Company,2,0.3
AVO Services and Technology,2,0.3
Grid Dynamics,2,0.3
Enwardo,2,0.3
Bank CenterCredit,2,0.3
Ecom.tech,2,0.3
Далее,2,0.3
ГК ИННОТЕХ,2,0.3
DeepHouse,2,0.3
PwC,2,0.3
"Bar Association ""Right Side""",2,0.3
MetaLamp,2,0.3
Organization for Security and Co-operation in Europe (OSCE),1,0.1
Nova-engineering,1,0.1
ИП Екатерина Волкова (онлайн-образовательный проект «НАМАСТЕ»),1,0.1
AVO SERVICES AND TECHNOLOGY,1,0.1
REWATT TECH LLC,1,0.1
Частная практика,1,0.1
GAMZ B.V.,1,0.1
Human Apps Ltd.,1,0.1
ScienceSoft,1,0.1
UP MENU,1,0.1
Appcast,1,0.1
Consultant in Product Management,1,0.1
Paycon.su,1,0.1
Банк,1,0.1
Крупная Группа компаний,1,0.1
МойОфис (ООО «Новые Облачные Технологии»),1,0.1
Частные эстетические клиники,1,0.1
Группа компаний IEK,1,0.1
NDA (Web3),1,0.1
Biedronka,1,0.1
BlueVoyant (Cyber Security global company),1,0.1
Danieli,1,0.1
Codexplore,1,0.1
Лаборатория Касперского,1,0.1
VIVA LA VIKA / CHOUX,1,0.1
Gazprom Neft,1,0.1
Allur,1,0.1
Umag,1,0.1
Walls.io,1,0.1
Nemax Finance,1,0.1
Торговый Дом Влв (VIVA LA VIKA),1,0.1
VkusVill,1,0.1
Пнппк,1,0.1
Reach (International Merchant of Record),1,0.1
Schlumberger,1,0.1
LCC GEN (мультибрендовый холдинг в сфере гостеприимства),1,0.1
Кросстех солюшнс групп,1,0.1
Digital Finance International,1,0.1
USETECH,1,0.1
PERFECT AUTO,1,0.1
"Панавто, ООО",1,0.1
Т1,1,0.1
Ellara,1,0.1
NOTO360 (Fraud & Compliance),1,0.1
Effective mobile,1,0.1
Volkswagen AG,1,0.1
Backbase,1,0.1
Стратегический профиль,1,0.1
Outsource Company,1,0.1
ООО ``ПРАЙМ ГРУП'',1,0.1
ParanoidLab,1,0.1
LTD WeilIt Marine Engineering,1,0.1
HR Consultant (Self-Employed),1,0.1
Everwest UAB (Girteka logistics group),1,0.1
BP Mobile,1,0.1
Крупный многоотраслевой холдинг (20+ компаний; оборот 1+ трлн рублей; 50 000+ сотрудников),1,0.1
Scandiweb,1,0.1
Independent Practice,1,0.1
Независимый стратегический советник,1,0.1
Adrenalin,1,0.1
КОМУС,1,0.1
"Группа компаний ""Сигма Марин Технолоджи""",1,0.1
Freelance (NDA),1,0.1
DKN Monteurzimmer GmbH,1,0.1
А101 диджитал,1,0.1
Self-Employed,1,0.1
Datanomix.pro,1,0.1
UNDERD\O G --- concept bar,1,0.1
Soramitsu,1,0.1
Энерго Технолоджис,1,0.1
SoftClub Ltd.,1,0.1
LLC LUKOMORYE-MAGADAN,1,0.1
ZmeuSolutions Inc. (Online Education Start-Up),1,0.1
Selecty,1,0.1
International FinTech Scale-up,1,0.1
Mars Pet Nutrition Russia,1,0.1
Private Villa,1,0.1
"ООО ""AC КЛИНИК""",1,0.1
OTUS (Online Education),1,0.1
Libertex Group,1,0.1
Yango (Yango Ads),1,0.1
WN Talents,1,0.1
УК Полюс,1,0.1
"KPMG Switzerland, Accounting Advisory Services",1,0.1
beeline Russia,1,0.1
"Impress (Healthcare; B2C, B2B, E-commerce, E-Health)",1,0.1
ЧП «ШАТЕ-М ПЛЮС»,1,0.1
Chevron (Tengiz Asset),1,0.1
Luxoft,1,0.1
ZION Development --- FinTech software development (under NDA),1,0.1
ООО Метро Кеш энд Керри,1,0.1
ТОО Meat Ingredients,1,0.1
"Будущее технологий, ООО (Холдинг Т1, ГК Иннотех)",1,0.1
Auriga,1,0.1
Arateg,1,0.1
CleverData (Lanit / Lansoft),1,0.1
Toloka,1,0.1
OTP Bank,1,0.1
Sensorium Corporation,1,0.1
Top Tier Authentics,1,0.1
Estée Lauder,1,0.1
Делис Инфо,1,0.1
NIS (Naftna Industrija Srbije),1,0.1
ИТ Мастерс,1,0.1
"ООО «Сэнд-Авто» (официальный дилер Hyundai, Kaiyi, Omoda, Jaecco)",1,0.1
Dualboot Partners LLC,1,0.1
Sage,1,0.1
Микроволновые системы,1,0.1
Snip Technologies,1,0.1
INNOTECH (Digital Banking Solution by CNews IT),1,0.1
TeamIdea,1,0.1
Paysera LTD,1,0.1
Zamwell Capital,1,0.1
Aravt Group,1,0.1
NDA,1,0.1
Группа компаний (офис в Москва-Сити),1,0.1
APLANA IT,1,0.1
EmTalk,1,0.1
Самокат (ООО Умное пространство),1,0.1
Accent Capital,1,0.1
HealthTech/IoT Mobile App (ThingsBoard with FHIR/Medplum integration),1,0.1
Dubizzle Group --- Bayut & Dubizzle,1,0.1
Ag.ru,1,0.1
Jaguar Land Rover Russia,1,0.1
"Онлайн Медиа, проект Exkavator.ru",1,0.1
28Stone (Contractor),1,0.1
Playtika,1,0.1
MadOut Games,1,0.1
