company_norm,Data/ML/Analytics,Design/Creative,Engineering/IT,Finance/Legal/HR,Healthcare/Education,Marketing/Sales,Operations/Administration,Other,Product/Project,Product/Project Management
Avo Services And Technology,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0
Bostongene,0.0,0.0,66.66666666666666,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0
Coherent Solutions,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delta Distribution,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Enwardo,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Epam Systems,0.0,0.0,33.33333333333333,0.0,0.0,0.0,66.66666666666666,0.0,0.0,0.0
Intelliverse,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lyft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Other,0.6147540983606558,3.278688524590164,22.131147540983605,12.90983606557377,1.0245901639344261,9.01639344262295,10.860655737704917,2.2540983606557377,0.0,37.90983606557377
Philosophy It,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Hub Startup Accelerator,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Sberbank,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
Wargaming,0.0,33.33333333333333,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333
Автобейс,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Сбер,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
