domain_filled,Almaty,Belarus,Dubai,Minsk,Moscow,Not specified,Other,Remote,Russia,Tashkent,Tbilisi,UAE,Warsaw,Yerevan,"Санкт, Петербург"
Data/ML/Analytics,0.0,0.0,20.0,0.0,0.0,20.0,40.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
Design/Creative,0.0,0.0,5.88235294117647,17.647058823529413,0.0,23.52941176470588,23.52941176470588,11.76470588235294,0.0,0.0,0.0,0.0,11.76470588235294,0.0,5.88235294117647
Engineering/IT,3.225806451612903,2.4193548387096775,4.032258064516129,8.064516129032258,15.32258064516129,6.451612903225806,42.74193548387097,0.8064516129032258,8.064516129032258,0.8064516129032258,1.6129032258064515,0.0,2.4193548387096775,0.8064516129032258,3.225806451612903
Engineering/Software,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finance/Legal/HR,3.0303030303030303,1.5151515151515151,0.0,1.5151515151515151,33.33333333333333,3.0303030303030303,40.909090909090914,1.5151515151515151,1.5151515151515151,0.0,1.5151515151515151,3.0303030303030303,0.0,6.0606060606060606,3.0303030303030303
Healthcare/Education,0.0,0.0,0.0,16.666666666666664,0.0,0.0,50.0,16.666666666666664,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
Marketing/Sales,2.0408163265306123,2.0408163265306123,10.204081632653061,4.081632653061225,24.489795918367346,14.285714285714285,22.448979591836736,2.0408163265306123,10.204081632653061,0.0,2.0408163265306123,4.081632653061225,2.0408163265306123,0.0,0.0
Operations/Administration,3.508771929824561,5.263157894736842,1.7543859649122806,1.7543859649122806,22.807017543859647,5.263157894736842,47.368421052631575,3.508771929824561,1.7543859649122806,5.263157894736842,0.0,0.0,0.0,0.0,1.7543859649122806
Product/Project,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
Product/Project Management,1.5544041450777202,0.0,5.699481865284974,3.1088082901554404,27.979274611398964,7.772020725388601,35.751295336787564,1.5544041450777202,6.217616580310881,1.0362694300518136,1.0362694300518136,1.0362694300518136,3.1088082901554404,1.0362694300518136,3.1088082901554404
