user_hash,reason_unknown,has_latex,has_talent_jobs,has_expheader_jobs,jobs_total_count,top_period_raw_examples_short
cfb1e3f215,other,True,True,True,13,2010 -- 2015 | 2014 -- 2016 | 2016 -- 2020
722c9fc02e,other,True,True,True,10,2018 -- 2020 | 2020 -- 2021 | 2021 -- 2022
893ccd26c1,other,True,True,True,8,02.2014 -- 11.2015 | 09.2018 -- 12.2020 | 10.2025 -- 06.2026
baaf42fca7,other,True,True,True,8,2024 - 2026 | 2020 - 2024 | 2012 - 2020
04c59d6ecb,other,True,True,True,6,2024 - 2026 | 2023 - 2024 | 2020 - 2023
a973312352,period_present_but_all_parse_failed,True,True,True,9,Даты не указаны
aee5841422,period_present_but_all_parse_failed,True,True,True,7,--
55c2257c1b,period_present_but_all_parse_failed,True,True,True,6,Даты не указаны
887710d59f,period_present_but_all_parse_failed,True,True,True,6,Dates not provided
62e414f833,period_present_but_all_parse_failed,True,True,True,3,Период не указан | До 2007
