raw_region,region_norm,count
Not specified,Not specified,239
Москва,Moscow,86
"Dubai, UAE",Dubai,16
Санкт-Петербург,Saint Petersburg,14
"Warsaw, Poland",Warsaw,11
"Moscow, Russia",Moscow,10
Remote,Remote,10
Moscow,Moscow,9
Russia,Russia,8
"Minsk, Belarus",Minsk,8
"Минск, Беларусь",Minsk,7
Алматы,Almaty,6
"Belgrade, Serbia",Serbia,5
"Yerevan, Armenia",Yerevan,5
Россия,Russia,5
"Tbilisi, Georgia",Tbilisi,5
Kazakhstan,Kazakhstan,4
Минск,Minsk,4
"Almaty, Kazakhstan",Almaty,4
"Москва, Россия",Moscow,3
"London, UK",United Kingdom,3
Ташкент,Tashkent,3
"Berlin, Germany",Germany,3
Томск,Томск,3
"Dubai, United Arab Emirates",Dubai,3
Germany,Germany,3
"Remote / San Jose, CA","Remote, San Jose, Ca",2
UAE,UAE,2
"Россия, Санкт-Петербург",Saint Petersburg,2
"Helsinki, Finland",Finland,2
"Алматы, Казахстан",Almaty,2
"Riga, Latvia",Latvia,2
Астана,Астана,2
"Novi Sad, Serbia",Serbia,2
"Amsterdam, Netherlands",Netherlands,2
Minsk,Minsk,2
"Abu Dhabi, UAE",Abu Dhabi,2
"Vienna, Austria",Austria,2
"Vilnius, Lithuania",Vilnius,2
"St. Petersburg, Russia",Saint Petersburg,2
Cyprus,Cyprus,2
"Tashkent, Uzbekistan",Tashkent,2
Саранск,Саранск,2
"Stuttgart, Germany",Germany,2
"Boston, MA","Boston, Ma",2
Dubai,Dubai,2
"Санкт-Петербург, Россия",Saint Petersburg,2
"Budva, Montenegro",Montenegro,2
Турция,Turkey,2
Бахрейн,Бахреин,1
