industry_norm,count,industry_display
Banking/FinTech,26,FinTech
IT/Software,26,IT
Other,24,Other
E-commerce/Retail,9,E-commerce
Healthcare,6,Healthcare
Telecom,4,Telecom
Real Estate,3,Real Estate
EdTech,3,EdTech
Consulting,2,Consulting
Manufacturing,2,Manufacturing
Marketing/Sales,1,Marketing/Sales
Public Sector,1,GovTech
PropTech,1,PropTech
AdTech/MarTech,1,AdTech/MarTech
HRTech,1,HRTech
Gaming,1,Gaming
Foodtech,1,Foodtech
Finance,1,Finance
Distribution,1,Distribution
Chemical Industry,1,Chemical Industry
iGaming,1,iGaming
