user_hash,source,company,region,job_title,period_raw,start_date,end_date,is_present,parse_ok,company_display_full,company_display_short,company_norm,region_display_full,region_display_short,region_norm,job_title_short
6d0b7a82a1,talentCard,Softline (IaaS/SaaS),Москва,Директор по продажам,03.2012 - 04.2016,2012-03-01,2016-04-01,False,True,Softline (IaaS/SaaS),Softline (IaaS/SaaS),softline iaas saas,Москва,Москва,Moscow,Директор по продажам
6d0b7a82a1,talentCard,Первый ОФД (ESN Group),,Директор по развитию бизнеса,05.2016 - 09.2018,2016-05-01,2018-09-01,False,True,Первый ОФД (ESN Group),Первый ОФД (ESN Group),первыи офд esn,,,Not specified,Директор по развитию бизнеса
6d0b7a82a1,talentCard,Первый ОФД (ГК ВТБ),,"Директор бизнес-юнита (монетизация данных, BigData)",09.2018 - 08.2023,2018-09-01,2023-08-01,False,True,Первый ОФД (ГК ВТБ),Первый ОФД (ГК ВТБ),первыи офд гк втб,,,Not specified,"Директор бизнес-юнита (монетизация данных, BigData)"
6d0b7a82a1,talentCard,Okkam (ex. Dentsu),Москва,Директор по развитию бизнеса,09.2023 - present,2023-09-01,2026-02-01,True,True,Okkam (ex. Dentsu),Okkam (ex. Dentsu),okkam ex dentsu,Москва,Москва,Moscow,Директор по развитию бизнеса
b9ef124e91,talentCard,Fiverr,,UX/UI Designer,01.2021 - 06.2023,2021-01-01,2023-06-01,False,True,Fiverr,Fiverr,fiverr,,,Not specified,UX/UI Designer
b9ef124e91,talentCard,SupTape,,Product Designer,09.2021 - 04.2023,2021-09-01,2023-04-01,False,True,SupTape,SupTape,suptape,,,Not specified,Product Designer
b9ef124e91,talentCard,SCT Chemicals,,Product Designer,04.2023 - 01.2024,2023-04-01,2024-01-01,False,True,SCT Chemicals,SCT Chemicals,sct chemicals,,,Not specified,Product Designer
b9ef124e91,talentCard,Prepaire Labs,,Senior Product Designer,01.2024 - 01.2025,2024-01-01,2025-01-01,False,True,Prepaire Labs,Prepaire Labs,prepaire labs,,,Not specified,Senior Product Designer
b9ef124e91,talentCard,SolaaX,,Senior Product Designer,01.2025 - present,2025-01-01,2026-02-01,True,True,SolaaX,SolaaX,solaax,,,Not specified,Senior Product Designer
d21fea6a77,talentCard,Wargaming,"Minsk, Belarus",Creative Services Leadership Roles,01.2013 - 12.2021,2013-01-01,2021-12-01,False,True,Wargaming,Wargaming,wargaming,"Minsk, Belarus","Minsk, Belarus",Minsk,Creative Services Leadership Roles
d21fea6a77,talentCard,Redhill Games,"Helsinki, Finland",Marketing Art Lead,01.2021 - 12.2025,2021-01-01,2025-12-01,False,True,Redhill Games,Redhill Games,redhill games,"Helsinki, Finland","Helsinki, Finland",Finland,Marketing Art Lead
d21fea6a77,talentCard,Cinematic Pixel,"Helsinki, Finland",Founder / Marketing Producer,01.2025 - present,2025-01-01,2026-02-01,True,True,Cinematic Pixel,Cinematic Pixel,cinematic pixel,"Helsinki, Finland","Helsinki, Finland",Finland,Founder / Marketing Producer
50876c7133,talentCard,Vivanti (Фармацевтический маркетинг),"Москва, Россия",Менеджер проектов,03.2020 - 10.2021,2020-03-01,2021-10-01,False,True,Vivanti (Фармацевтический маркетинг),Vivanti (Фармацевтический маркетинг),vivanti фармацевтическии маркетинг,"Москва, Россия","Москва, Россия",Moscow,Менеджер проектов
50876c7133,talentCard,VK (Финтех / IT),"Москва, Россия",Менеджер проектов,11.2021 - 12.2023,2021-11-01,2023-12-01,False,True,VK (Финтех / IT),VK (Финтех / IT),vk финтех it,"Москва, Россия","Москва, Россия",Moscow,Менеджер проектов
