user_hash,current_company_talentCard,current_company_expheader,company_talent_norm,company_latex_norm
511d211aec,INVITRO,Sravni.ru,Invitro,Sravni.Ru
a049130fc2,Фриланс (Литва/РБ),SLON Media,Фриланс (Литва/Рб),Slon Media
5fa7d0bc3f,Aldi Süd International IT,"Aldi S\""ud International IT",Aldi Süd International It,Aldi S Ud International It
a11f7b9b11,OVB Allfinanz España,OVB Allfinanz Espa\~na,Ovb Allfinanz España,Ovb Allfinanz Espa ~Na
48fe59db8e,КМГ Кашаган БВ,"Филиал ``Норт Каспиан Оперейтинг Компани Н.В.'' в РК (представительский офис, Астана)",Кмг Кашаган Бв,"Филиал Норт Каспиан Оперейтинг Компани Н.В. В Рк (Представительский Офис, Астана)"
ac4fab3e56,"ХОСТ, Группа компаний",ООО Крисклин,"Хост, Группа Компаний",Крисклин
4d8e159009,"Krieger Digital (E-commerce, Hoeffner.de etc)","Innotech Group (FinTech, 10K+ employees)","Krieger Digital (E-Commerce, Hoeffner.De Etc)","Innotech Group (Fintech, 10K+ Employees)"
62e414f833,компании РФ,Международная консалтинговая компания,Компании Рф,Международная Консалтинговая Компания
a973312352,Sberbank Technologies,Alfa-Bank Belarus,Sberbank Technologies,Alfa-Bank Belarus
f06e20731f,ToYou (https://toyou.io/en),"Sberbank --- Corporate Banking, Corporate Solutions Center",Toyou (Https://Toyou.Io/En),"Sberbank --- Corporate Banking, Corporate Solutions Center"
7e352e422c,Zentek Services GmbH 	26 Co.,Zentek Services GmbH \& Co.,Zentek Services Gmbh 26 Co.,Zentek Services Gmbh & Co.
f900bdafe5,Группа компаний Innostage (ИБ/ИТ интегратор),ИТ стартап компания (B2B и B2C направления),Группа Компаний Innostage (Иб/Ит Интегратор),Ит Стартап Компания (B2B И B2C Направления)
20872a534b,Группа компаний Innostage,ИТ стартап компания (B2B и B2C направления),Группа Компаний Innostage,Ит Стартап Компания (B2B И B2C Направления)
5e290d9063,AVB Invest,Производитель вычислительной техники,Avb Invest,Производитель Вычислительной Техники
8e7df05447,Крупный многоотраслевой холдинг (20+ компаний; оборот 1+ трлн рублей; 50 000+ сотрудников),"Крупный многоотраслевой холдинг (20+ компаний; оборот 1+ трлн рублей; 50\,000+ сотрудников)",Крупный Многоотраслевой Холдинг (20+ Компаний; Оборот 1+ Трлн Рублей; 50 000+ Сотрудников),"Крупный Многоотраслевой Холдинг (20+ Компаний; Оборот 1+ Трлн Рублей; 50 ,000+ Сотрудников)"
ef96101c86,Estée Lauder,Est\'ee Lauder,Estée Lauder,Est 'Ee Lauder
1d87a1b6cd,ADANI,VMT,Adani,Vmt
497e0b3ab9,ИП Махлин Д.Л.,Level garden,Ип Махлин Д.Л.,Level Garden
5c32132d92,"Smart Communication (Messenger Marketing / AI Agency, B2B)",Hotline (ECommerce Startup),"Smart Communication (Messenger Marketing / Ai Agency, B2B)",Hotline (Ecommerce Startup)
55c2257c1b,Управление премиальной недвижимостью,Bayhan / Second Home,Управление Премиальной Недвижимостью,Bayhan / Second Home
69faf9bbcb,"ecom.tech (Самокат, ООО «Умное пространство» )","ecom.tech (Самокат, ООО «Умное пространство»)","Ecom.Tech (Самокат, «Умное Пространство» )","Ecom.Tech (Самокат, «Умное Пространство»)"
ec5286132c,"Онлайн Медиа, проект Exkavator.ru",Skillbox,"Онлайн Медиа, Проект Exkavator.Ru",Skillbox
6b29687dba,Jaguar Land Rover Russia,Jaguar Land Rover Overseas,Jaguar Land Rover Russia,Jaguar Land Rover Overseas
8ea0b525f8,NDA,NDA (Online casino team backed by a large entertainment holding),Nda,Nda (Online Casino Team Backed By A Large Entertainment Holding)
3463bfbb7a,amoCRM,Частная практика,Amocrm,Частная Практика
00ddf507f2,Международная группа «RATIONAL» (с 2023 г. ООО «Компонент»)),Международная группа «RATIONAL» (с 2023 г. ООО «Компонент»),Международная Группа «Rational» (С 2023 Г. «Компонент»)),Международная Группа «Rational» (С 2023 Г. «Компонент»)
8a1a7613e9,ПАО «Газпром нефть»,ПАО «Газпром»,Пао «Газпром Нефть»,Пао «Газпром»
3d210be62a,Centromash,"Centromash, международная компания по сертификации товаров и услуг",Centromash,"Centromash, Международная Компания По Сертификации Товаров И Услуг"
