company_norm,count,company_display_full,share_%,company_display_short
Сбер,18,Сбер,9.1,Сбер
japan tobacco international,12,Japan Tobacco International,6.1,Japan Tobacco International
av electronic,12,AV Electronic,6.1,AV Electronic
airport management,11,Airport Management Company Ltd,5.6,Airport Management Company Ltd
unicredit bank,10,UniCredit Bank,5.1,UniCredit Bank
LYFT,10,Lyft,5.1,Lyft
Лаборатория Касперского,10,АО «Лаборатория Касперского»,5.1,АО «Лаборатория Касперского»
chevron tengiz field,9,Chevron (Tengiz Field),4.5,Chevron (Tengiz Field)
адидас,8,"ООО ""Адидас""",4.0,"ООО ""Адидас"""
ВТБ,6,VTB Bank,3.0,VTB Bank
ростелеком,6,Ростелеком,3.0,Ростелеком
avon cosmetics,6,Avon Cosmetics,3.0,Avon Cosmetics
lumene and cutrin russia,6,Lumene & Cutrin Russia,3.0,Lumene & Cutrin Russia
outsource,6,Outsource Company,3.0,Outsource Company
softswiss,6,SOFTSWISS,3.0,SOFTSWISS
A1,6,A1,3.0,A1
apatech carbon fiber aerospace components,4,ApATech --- Carbon Fiber Aerospace Components,2.0,ApATech --- Carbon Fiber Aerospace Components
сан инбев,4,"ОАО ""САН ИнБев""",2.0,"ОАО ""САН ИнБев"""
бастион,4,Бастион,2.0,Бастион
tut by media проект ребенок by,4,"TUT BY Media, проект Ребенок.BY",2.0,"TUT BY Media, проект Ребенок.BY"
upec urals power engineering,4,UPEC (Urals Power Engineering Company),2.0,UPEC (Urals Power Engineering Company)
илада груп,4,"ООО ""ИЛАДА ГРУП""",2.0,"ООО ""ИЛАДА ГРУП"""
росгеология,4,Росгеология,2.0,Росгеология
nfon ag,4,NFON AG,2.0,NFON AG
проектная деятельность,4,Проектная деятельность (ИП),2.0,Проектная деятельность (ИП)
заимиго мфк,4,Займиго МФК,2.0,Займиго МФК
wargaming,4,Wargaming,2.0,Wargaming
спецхимия гк ростех,4,АО «Спецхимия» (ГК Ростех),2.0,АО «Спецхимия» (ГК Ростех)
приорбанк,4,"""Приорбанк"" ОАО",2.0,"""Приорбанк"" ОАО"
гк таврида электрик,4,ГК «Таврида Электрик»,2.0,ГК «Таврида Электрик»
