user_hash,last_end_date,months_since_last_end,last_company_norm,last_job_title
50876c7133,2025-12-01,2.0,tbc uzbekistan финтех,Менеджер проектов
1a356bd12f,2025-06-01,8.0,astro7 бренды astro7 aura7,Руководитель экспертного отдела
682a20470d,2025-12-01,2.0,элком электро,Менеджер по сопровождению клиентов
5f056cbdc4,2025-11-01,3.0,huawei,Senior Project Manager
4a0d0d0746,2025-12-01,2.0,bostongene,Software Engineer / Data Engineer
7e903b466e,2025-07-01,7.0,ДОМ.РФ,Технический директор по продуктам (CTO)
26db7e5f9e,2026-01-01,1.0,la redoute,Head of Analytics
b0b80fb89e,2025-10-01,4.0,gigalegal,Business Developer Manager (AI)
26ffa007a5,2025-04-01,10.0,restaurant and cafe chain,Business Process Analyst
b06b27033a,2025-02-01,12.0,группа компании техпривод,Заместитель генерального директора
0c9e929e72,2025-05-01,9.0,автобеис,Операционный директор (COO)
808de58b0f,2025-03-01,11.0,a and k american educational consulting американскии edtech startup,Руководитель клиентского сервиса
02bff47a85,2025-08-01,6.0,компания 1,Руководитель программ проектов
bcd0d08650,2025-11-01,3.0,школа программирования 21,Руководитель направления
10817dfddf,2025-10-01,4.0,makelove employer branding agency,Global brand manager
5dd3e9d534,2024-05-01,21.0,холдинг уралхим,Главный бухгалтер холдинга непрофильных активов (проекты Бенефициара)
3d323f3f5a,2026-01-01,1.0,СПОРТ,Python backend разработчик
83a6e923e7,2024-12-01,14.0,русал эн+ холдинг,Директор департамента стратегических задач
b2cd05d4df,2025-08-01,6.0,студия давыдова,Менеджер проектов
6d7a555c4f,2025-12-01,2.0,praktika ai,Senior Instructional Designer
e6f082bb2c,2024-08-01,18.0,vigor maker,Project Manager (Operations)
9178d0e498,2025-08-01,6.0,росгеология,Директор по региональному развитию
ec44ae980f,2025-06-01,8.0,saber interactive,AI / Combat / Systems Designer
c82ad7c5c6,2025-12-01,2.0,smart driving labs,Technical Support Engineer (Lead)
2a419c689f,2025-07-01,7.0,ЕЛВА,Функциональный архитектор
b0a8513b28,2025-07-01,7.0,teachbase,Project Manager
b82198b136,2025-01-01,13.0,career break,Maternity Leave --- Full-time parenting
f1802345a1,2024-03-01,23.0,payu prosus naspers,CTO
672c8e402d,2025-08-01,6.0,professional home health services,Medical Assistant (Freelance)
28c56590b6,2023-09-01,29.0,philosophy it,Lead Consultant
ea52cba690,2025-08-01,6.0,bank centercredit,Software Engineer
3b80ce6ce3,2025-01-01,13.0,m files via ment acquisition,Full-Stack Developer
59730819d1,2023-01-01,37.0,открытыи контакт ok by,IT Project Manager / Product Manager
