domain_filled,selectedPosition,count
Other,"CIO / Директор по информационным технологиям (Enterprise, индустрия/инфраструктура)",1
Other,Chief Transformation Officer / Директор по трансформации (стартап/SMB),1
Other,Head of Video Production / Lead Video Producer,1
Other,"IT-рекрутер (in-house), junior/middle",1
Other,"Recruiter (Enterprise / корпорация, Tech/FinTech)",1
Other,Senior UX Researcher (Quant/Mixed-Methods) / Customer Insights,1
Other,Ведущий бизнес-аналитик / Lead BA (ERP),1
Other,Директор по девелопменту / Head of Real Estate Development (owner-side),1
Other,"Исполнительный директор / Генеральный директор (CEO) в финтех/банковской рознице (ипотека, экосистемы, digital-каналы)",1
Other,Младший / промежуточный аналитик данных (Junior/Middle Data Analyst) в крупных организациях,1
Other,Младший/средний бизнес‑аналитик (корпоративные системы) в крупной компании,1
Other,"Стратегический консультант / Advisor для CEO технологических компаний (Scale-up, трансформация)",1
