skill,count,share_%,domain_filled
UML,2,9.5,Other
Business Analysis,1,4.8,Other
Xmind,1,4.8,Other
спецификации,1,4.8,Other
инструкции,1,4.8,Other
API,1,4.8,Other
Взаимодействие с разработкой и тестированием,1,4.8,Other
ServiceDesk,1,4.8,Other
Redmine,1,4.8,Other
Bizagi Modeler,1,4.8,Other
Немецкий язык (B2,1,4.8,Other
Use Case,1,4.8,Other
Full-cycle recruiting,1,4.8,Other
Stakeholder management,1,4.8,Other
Sourcing (LinkedIn,1,4.8,Other
Telegram,1,4.8,Other
Habr,1,4.8,Other
niche communities,1,4.8,Other
Техническое задание,1,4.8,Other
BPMN 2.0,1,4.8,Other
