canonical,variants_count,пример_norm
PwC,7,PWC
Deloitte,4,deloitte
EY,5,EY
KPMG,2,KPMG
McKinsey & Company,3,mckinsey and
Boston Consulting Group (BCG),4,boston consulting bcg
Bain & Company,3,bain and
Accenture,1,accenture
IBM,1,IBM
Capgemini,1,capgemini
Cognizant,1,cognizant
Tata Consultancy Services (TCS),1,tata consultancy services tcs
Infosys,1,infosys
Wipro,1,WIPRO
EPAM,5,EPAM
Luxoft,1,luxoft
GlobalLogic,1,globallogic
Google,1,google
Amazon,1,amazon
Microsoft,1,microsoft
Apple,1,APPLE
Meta,1,META
Netflix,1,netflix
Adobe,1,ADOBE
SAP,1,SAP
Oracle,1,oracle
Salesforce,1,salesforce
Сбер,8,Сбер
ВТБ,1,ВТБ
Альфа-Банк,4,Альфа-Банк
Т-Банк,6,БАНК
Газпромбанк,1,Газпромбанк
Райффайзенбанк,1,раиффаизенбанк
Яндекс,1,Яндекс
VK,4,VK
Ozon,3,OZON
Wildberries,1,wildberries
Avito,1,Avito
X5 Group,1,X5
Магнит,1,магнит
МТС,3,МТС
Beeline,4,beeline
МегаФон,1,мегафон
Ростелеком,2,ростелеком
Tele2,1,TELE2
Газпром,1,Газпром
Роснефть,1,роснефть
Лукойл,1,лукоил
Норникель,1,норникель
Северсталь,1,Severstal
Русал,1,РУСАЛ
Росатом,1,росатом
РЖД,3,РЖД
Аэрофлот,1,аэрофлот
Kaspersky,1,Лаборатория Касперского
1C,1,1C
Т1,4,Т1
Сбертех,3,сбертех
AVO,5,AVO
