region_norm,count,region_display
Not specified,241,Not specified
Moscow,125,Москва
Minsk,26,"Minsk, Belarus"
Saint Petersburg,21,Санкт-Петербург
"Dubai, UAE",17,"Dubai, UAE"
Almaty,12,Алматы
"Warsaw, Poland",11,"Warsaw, Poland"
Remote,10,Remote
Tashkent,9,Ташкент
Russia,8,Russia
Yerevan,7,"Yerevan, Armenia"
Россия,5,Россия
"Belgrade, Serbia",5,"Belgrade, Serbia"
"Tbilisi, Georgia",5,"Tbilisi, Georgia"
Kazakhstan,4,Kazakhstan
Uzbekistan,3,Uzbekistan
"Dubai, United Arab Emirates",3,"Dubai, United Arab Emirates"
Томск,3,Томск
Germany,3,Germany
"Berlin, Germany",3,"Berlin, Germany"
"London, UK",3,"London, UK"
Cyprus,2,Cyprus
Dubai,2,Dubai
"Novi Sad, Serbia",2,"Novi Sad, Serbia"
"Vilnius, Lithuania",2,"Vilnius, Lithuania"
"Vienna, Austria",2,"Vienna, Austria"
UAE,2,UAE
"Boston, MA",2,"Boston, MA"
"Budva, Montenegro",2,"Budva, Montenegro"
"Stuttgart, Germany",2,"Stuttgart, Germany"
"Abu Dhabi, UAE",2,"Abu Dhabi, UAE"
"Amsterdam, Netherlands",2,"Amsterdam, Netherlands"
Астана,2,Астана
"Riga, Latvia",2,"Riga, Latvia"
"St. Petersburg, Russia",2,"St. Petersburg, Russia"
Турция,2,Турция
"Remote / San Jose, CA",2,"Remote / San Jose, CA"
Саранск,2,Саранск
"Helsinki, Finland",2,"Helsinki, Finland"
Warsaw (Hybrid); Astana (Remote),1,Warsaw (Hybrid); Astana (Remote)
"Vilnius, Lithuania (remote)",1,"Vilnius, Lithuania (remote)"
"Yekaterinburg, Sverdlovsk Oblast, Russia",1,"Yekaterinburg, Sverdlovsk Oblast, Russia"
"Zurich, Switzerland",1,"Zurich, Switzerland"
"Varna, Bulgaria",1,"Varna, Bulgaria"
"Vancouver, Canada",1,"Vancouver, Canada"
"\, удалённо \,",1,"\, удалённо \,"
"Valencia, Spain",1,"Valencia, Spain"
(аудит и управление R\&D-проектами в стратегических отраслях),1,(аудит и управление R\&D-проектами в стратегических отраслях)
United Kingdom,1,United Kingdom
United Arab Emirates,1,United Arab Emirates
"San Mateo, CA",1,"San Mateo, CA"
Serbia,1,Serbia
Slovenia,1,Slovenia
"Sofia, Bulgaria",1,"Sofia, Bulgaria"
Tbilisi,1,Tbilisi
"Tel Aviv, Hamerkaz",1,"Tel Aviv, Hamerkaz"
"Tel Aviv, Israel",1,"Tel Aviv, Israel"
Thailand,1,Thailand
Turkey,1,Turkey
"Tuscany, Italy",1,"Tuscany, Italy"
startx.team,1,startx.team
"UAE, Saudi Arabia, Europe, CIS, Russia",1,"UAE, Saudi Arabia, Europe, CIS, Russia"
"UAE, Singapore",1,"UAE, Singapore"
UK,1,UK
UK / Europe (Remote \& On-site),1,UK / Europe (Remote \& On-site)
USA/РФ/Кипр/РБ,1,USA/РФ/Кипр/РБ
Union --- AI SaaS,1,Union --- AI SaaS
shate-m.by,1,shate-m.by
"Гражданство: Россия, Болгария",1,"Гражданство: Россия, Болгария"
work permit: Russia,1,work permit: Russia
Телефон,1,Телефон
Польша / удалённо,1,Польша / удалённо
Производственно-инжиниринговая компания,1,Производственно-инжиниринговая компания
РФ,1,РФ
Разработка собственного ПО в области ИБ (350 человек),1,Разработка собственного ПО в области ИБ (350 человек)
Самара,1,Самара
Самара \,1,Самара \
"Самара, Россия \,",1,"Самара, Россия \,"
Сириус,1,Сириус
Стамбул,1,Стамбул
Телефон: не указан,1,Телефон: не указан
Онлайн,1,Онлайн
"Темиртау, Караганда",1,"Темиртау, Караганда"
"Удаленно, Англия",1,"Удаленно, Англия"
Узбекистан,1,Узбекистан
Ульяновск,1,Ульяновск
"Управление активами, фондами и коммерческой недвижимостью",1,"Управление активами, фондами и коммерческой недвижимостью"
"Холдинг Т1, ГК Иннотех",1,"Холдинг Т1, ГК Иннотех"
"Черногория, Герцег-Нови",1,"Черногория, Герцег-Нови"
Эстония / Беларусь / Россия,1,Эстония / Беларусь / Россия
г. Тюмень,1,г. Тюмень
Покров,1,Покров
Омск,1,Омск
www.avbinvest.com,1,www.avbinvest.com
Екатеринбург,1,Екатеринбург
"İzmir, Türkiye",1,"İzmir, Türkiye"
Бахрейн,1,Бахрейн
Беларусь,1,Беларусь
Владивосток,1,Владивосток
"Волгоград, Россия (готов к релокации)",1,"Волгоград, Россия (готов к релокации)"
"Гражданство: Россия \,",1,"Гражданство: Россия \,"
Гродно,1,Гродно
Дальний Восток,1,Дальний Восток
"Европа, Азия, Россия",1,"Европа, Азия, Россия"
"Заславль, Беларусь",1,"Заславль, Беларусь"
ОАЭ,1,ОАЭ
Кишинев,1,Кишинев
Кишинёв,1,Кишинёв
Краснодар / Сочи / удаленно \ готовность к командировкам и переезду: да,1,Краснодар / Сочи / удаленно \ готовность к командировкам и переезду: да
"Лиссабон, Португалия",1,"Лиссабон, Португалия"
Литва/РБ,1,Литва/РБ
Макрорегион Север (13 регионов РФ),1,Макрорегион Север (13 регионов РФ)
Международная корпоративная сеть,1,Международная корпоративная сеть
"Нижний Новгород \,",1,"Нижний Новгород \,"
Новосибирск,1,Новосибирск
"San Francisco, California, US",1,"San Francisco, California, US"
Remote / International,1,Remote / International
"S\~ao Paulo, Brazil",1,"S\~ao Paulo, Brazil"
"Hybrid, Israel (Raanana)",1,"Hybrid, Israel (Raanana)"
EU (remote),1,EU (remote)
"Ekaterinburg, Russia",1,"Ekaterinburg, Russia"
English --- B2 \ \ German --- A2,1,English --- B2 \ \ German --- A2
France / Luxembourg,1,France / Luxembourg
Fully remote,1,Fully remote
"G\""artringen, Germany",1,"G\""artringen, Germany"
Girteka logistics group,1,Girteka logistics group
HQ,1,HQ
"Hamburg, Germany",1,"Hamburg, Germany"
"International (Kazakhstan, CIS, Turkey, France)",1,"International (Kazakhstan, CIS, Turkey, France)"
"Ryde, NSW 2112",1,"Ryde, NSW 2112"
Israel,1,Israel
Israel (open to remote),1,Israel (open to remote)
Italy,1,Italy
KSA,1,KSA
"Kazan, Russia",1,"Kazan, Russia"
Kehl,1,Kehl
"Krakow, Poland",1,"Krakow, Poland"
Kraków,1,Kraków
"Kuala Lumpur, Malaysia",1,"Kuala Lumpur, Malaysia"
"Dubai, UAE (Hybrid)",1,"Dubai, UAE (Hybrid)"
"Dilijan, Armenia (open to remote work)",1,"Dilijan, Armenia (open to remote work)"
"Cascais, Portugal",1,"Cascais, Portugal"
"California, USA (Remote)",1,"California, USA (Remote)"
Armenia,1,Armenia
"Astana, Kazakhstan",1,"Astana, Kazakhstan"
"Atyrau, Kazakhstan",1,"Atyrau, Kazakhstan"
"Bangkok, Thailand",1,"Bangkok, Thailand"
"Bangkok, Thailand (ready for relocation)",1,"Bangkok, Thailand (ready for relocation)"
"Barcelona, Spain",1,"Barcelona, Spain"
"Batumi, Georgia",1,"Batumi, Georgia"
"Beijing, China",1,"Beijing, China"
Belarus,1,Belarus
Belarus and EU offices,1,Belarus and EU offices
"Belgrade, Serbia (готова к релокации)",1,"Belgrade, Serbia (готова к релокации)"
Berlin,1,Berlin
"Berlin, Germany (remote)",1,"Berlin, Germany (remote)"
"Bia{2}ystok, Poland",1,"Bia{2}ystok, Poland"
"Bilbao, Spain",1,"Bilbao, Spain"
"Bishkek, the Kyrgyz Republic",1,"Bishkek, the Kyrgyz Republic"
"Boysun Gas Processing Plant, Uzbekistan",1,"Boysun Gas Processing Plant, Uzbekistan"
"Buenos Aires, Argentina",1,"Buenos Aires, Argentina"
"CEE, DACH, Nordics",1,"CEE, DACH, Nordics"
Kyiv,1,Kyiv / Madrid (remote)
"Lausanne, Switzerland",1,"Lausanne, Switzerland"
"Leipzig, Germany",1,"Leipzig, Germany"
Personal Details: Citizenship -- Belarus,1,Personal Details: Citizenship -- Belarus
"Perth, Australia",1,"Perth, Australia"
Poland,1,Poland
Poland (remote),1,Poland (remote)
Portugal,1,Portugal
Product Company (25 employees),1,Product Company (25 employees)
Project: PJSC VTB Bank,1,Project: PJSC VTB Bank
"Puteaux, France",1,"Puteaux, France"
R\&D branch,1,R\&D branch
Remote (Armenia),1,Remote (Armenia)
"Remote (Boston, MA, USA)",1,"Remote (Boston, MA, USA)"
Remote (Kazakhstan),1,Remote (Kazakhstan)
Remote (based in Abu Dhabi); company based in Canada,1,Remote (based in Abu Dhabi); company based in Canada
"(торговля электрооборудованием, автоматизация инженерных систем, умный дом/офис; оборот 4+ млрд)",1,"(торговля электрооборудованием, автоматизация инженерных систем, умный дом/офис; оборот 4+ млрд)"
Republic of Belarus,1,Republic of Belarus
"Reus, Spain",1,"Reus, Spain"
"Rhode Island, USA",1,"Rhode Island, USA"
"Rome, Italy",1,"Rome, Italy"
"Roosendaal / Oosterhout, Netherlands",1,"Roosendaal / Oosterhout, Netherlands"
"Rostov-on-Don, Russia",1,"Rostov-on-Don, Russia"
"Personal Details: Citizenship --- Russia \,",1,"Personal Details: Citizenship --- Russia \,"
"Paphos, Cyprus",1,"Paphos, Cyprus"
"Limassol, Cyprus",1,"Limassol, Cyprus"
Online casino team backed by a large entertainment holding,1,Online casino team backed by a large entertainment holding
Lisbon,1,Lisbon
"Location \,",1,"Location \,"
"London, SE16",1,"London, SE16"
"London, UK (Remote)",1,"London, UK (Remote)"
"M\'alaga, Spain",1,"M\'alaga, Spain"
Madrid (Hybrid),1,Madrid (Hybrid)
"Madrid, Spain",1,"Madrid, Spain"
"Magadan, Russia",1,"Magadan, Russia"
"Malaga, Spain",1,"Malaga, Spain"
"Miami, USA",1,"Miami, USA"
"Mogilev, Belarus",1,"Mogilev, Belarus"
Montenegro,1,Montenegro
"Multiple cities, Russia",1,"Multiple cities, Russia"
"Munich, Germany",1,"Munich, Germany"
"NY, USA",1,"NY, USA"
"New York, NY",1,"New York, NY"
"New York, United States (Remote)",1,"New York, United States (Remote)"
Norway,1,Norway
"Odesa, Ukraine",1,"Odesa, Ukraine"
международная компания по сертификации товаров и услуг,1,международная компания по сертификации товаров и услуг
