token,count
jira,147
confluence,118
stakeholder management,89
sql,80
kanban,79
agile,73
scrum,72
miro,58
ci,52
agile (scrum,50
git,49
docker,48
figma,46
power bi,43
python,42
postgresql,39
cd,38
waterfall,37
excel,30
notion,29
ms project,29
crm,28
bpmn,28
postman,24
kpi,24
trello,23
swagger,22
grafana,22
uml,21
linux,20
sla,20
jenkins,20
kubernetes,20
rest api,19
user stories,19
typescript,18
kafka,17
change management,17
okr,16
google sheets,16
tableau,15
pmbok,15
react,15
slack,15
aws,15
redis,15
cross-functional leadership,14
управление рисками,14
управление командой,14
javascript,14
