token,count
jira,159
confluence,128
sql,82
figma,53
git,51
docker,48
power bi,44
python,43
postgresql,39
excel,33
linux,21
kubernetes,20
typescript,18
sap,17
tableau,16
aws,15
react,15
bitrix24,14
javascript,14
azure devops,14
1c,13
mysql,13
gitlab ci,13
oracle,12
miro,12
gitlab,11
ms excel,10
github,10
java,8
github actions,8
python (pandas,7
etl,7
notion,6
1c:erp,5
digital transformation,5
ms sql,5
react testing library,5
ms project,5
sql (postgresql,5
sql (mysql,5
gcp,4
cd (gitlab ci,4
node.js,4
bitrix,4
chatgpt,4
atlassian jira,3
azure,3
hadoop,3
aws (ec2,3
sql (basic,3
