token_a,token_b,count
confluence,jira,112
jira,miro,55
confluence,miro,50
jira,sql,38
figma,jira,37
figma,miro,32
confluence,sql,31
confluence,figma,31
docker,postgresql,28
python,sql,23
jira,notion,23
docker,git,22
git,jira,21
docker,python,20
jira,power bi,18
confluence,notion,18
miro,notion,18
confluence,git,17
docker,sql,17
confluence,power bi,16
docker,kubernetes,15
git,postgresql,15
excel,jira,15
jenkins,jira,14
miro,sql,14
ci/cd,docker,14
power bi,sql,14
git,sql,13
postgresql,python,13
figma,sql,13
ci/cd,postgresql,12
postgresql,sql,12
jira,python,12
react,typescript,12
ci/cd,git,12
figma,notion,12
confluence,excel,12
git,python,12
docker,jira,11
kafka,postgresql,11
git,linux,11
kubernetes,postgresql,11
linux,python,11
excel,miro,11
confluence,grafana,11
docker,linux,10
confluence,jenkins,10
aws,docker,10
grafana,jira,10
kubernetes,python,10
docker,grafana,10
javascript,typescript,9
aws,postgresql,9
miro,power bi,9
excel,sql,9
confluence,python,9
ci/cd,react,9
aws,kubernetes,9
git,jenkins,8
git,miro,8
excel,google sheets,8
google workspace,jira,8
jira,tableau,8
linux,postgresql,8
ci/cd,python,8
docker,jenkins,8
jira,postgresql,8
grafana,sql,8
excel,power bi,8
aws,python,8
mongodb,postgresql,8
confluence,tableau,8
aws,terraform,7
bitrix24,jira,7
grafana,kubernetes,7
confluence,postgresql,7
grafana,python,7
grafana,postgresql,7
docker,mongodb,7
jira,linux,7
power bi,python,7
docker,react,7
figma,git,7
docker,kafka,7
docker,mysql,7
grafana,jenkins,7
linux,sql,7
clickhouse,python,7
ci/cd,typescript,7
mysql,postgresql,7
jenkins,python,6
1c,jira,6
django,postgresql,6
git,grafana,6
jenkins,postgresql,6
kubernetes,sql,6
python,terraform,6
jenkins,linux,6
miro,tableau,6
ci/cd,jira,6
django,python,6
docker,java,6
grafana,kafka,6
docker,terraform,6
docker,typescript,6
ci/cd,sql,6
miro,ms project,6
figma,power bi,6
git,javascript,6
confluence,linux,6
javascript,react,6
git,typescript,6
docker,github actions,6
sql,typescript,6
jira,kafka,5
react,react testing library,5
java,jira,5
java,sql,5
mongodb,sql,5
github,jira,5
jira,python (pandas,5
confluence,google sheets,5
confluence,ms excel,5
react testing library,typescript,5
google sheets,jira,5
jira,ms excel,5
ci/cd,confluence,5
ci/cd,javascript,5
ci/cd,linux,5
git,java,5
javascript,sql,5
confluence,google workspace,5
ci/cd,mysql,5
gitlab,postgresql,5
jenkins,kubernetes,5
1c,confluence,5
google analytics,jira,5
jira,trello,5
clickhouse,kubernetes,5
docker,gitlab ci/cd,5
power bi,tableau,5
kafka,kubernetes,5
jira,prometheus,5
django,docker,5
aws,jira,5
azure devops,jira,5
notion,sql,5
jira,ms project,5
docker,prometheus,5
excel,figma,5
confluence,ms project,5
confluence,prometheus,5
java,postgresql,4
postgresql,terraform,4
jenkins,sql,4
docker,gitlab,4
jira,swagger,4
confluence,waterfall,4
gitlab,grafana,4
jira,postman,4
github actions,typescript,4
ci/cd (jenkins,postgresql,4
github actions,javascript,4
ci/cd,grafana,4
kanban,waterfall,4
gitlab,jira,4
confluence,gitlab,4
git,kubernetes,4
ci/cd (jenkins,docker,4
azure devops,jenkins,4
notion,trello,4
google analytics,miro,4
power bi,python (pandas,4
node.js,typescript,4
node.js,react,4
confluence,postman,4
jira,sap,4
clickhouse,docker,4
google sheets,power bi,4
kubernetes,terraform,4
clickhouse,grafana,4
github actions,grafana,4
aws,sql,4
ci/cd (jenkins,grafana,4
asana,jira,4
azure devops,sql,4
kafka,python,4
figma,python,4
kubernetes,linux,4
grafana,prometheus,4
confluence,kafka,4
confluence,kanban,4
