token_norm,count,token_display
jira,154,Jira
confluence,124,Confluence
sql,75,Sql
miro,71,Miro
figma,52,Figma
git,50,Git
docker,47,Docker
python,43,Python
power bi,43,Power Bi
postgresql,38,Postgresql
notion,34,Notion
excel,31,Excel
ci/cd,26,Ci/Cd
grafana,22,Grafana
jenkins,21,Jenkins
kubernetes,19,Kubernetes
linux,17,Linux
kafka,17,Kafka
typescript,16,Typescript
sap,16,Sap
tableau,16,Tableau
google sheets,16,Google Sheets
react,15,React
aws,15,Aws
azure devops,14,Azure Devops
bitrix24,14,Bitrix24
javascript,13,Javascript
1c,13,1C
oracle,12,Oracle
mysql,11,Mysql
google workspace,11,Google Workspace
gitlab,11,Gitlab
terraform,10,Terraform
mongodb,10,Mongodb
ms excel,10,Ms Excel
clickhouse,10,Clickhouse
github,9,Github
gitlab ci/cd,8,Gitlab Ci/Cd
prometheus,8,Prometheus
github actions,8,Github Actions
java,8,Java
python (pandas,7,Python (Pandas
ms project,7,Ms Project
django,7,Django
google analytics,6,Google Analytics
ci/cd (jenkins,6,Ci/Cd (Jenkins
trello,6,Trello
sql (mysql,5,Sql (Mysql
pl/sql,5,Pl/Sql
waterfall,5,Waterfall
react testing library,5,React Testing Library
kanban,5,Kanban
gitlab ci,5,Gitlab Ci
ms sql,5,Ms Sql
digital transformation,5,Digital Transformation
sql (postgresql,5,Sql (Postgresql
ansible,4,Ansible
bitrix,4,Bitrix
asana,4,Asana
postman,4,Postman
node.js,4,Node.Js
scrum,4,Scrum
c#,4,C#
1c:erp,4,1C:Erp
swagger,4,Swagger
chatgpt,4,Chatgpt
slack,4,Slack
amplitude,4,Amplitude
gcp,4,Gcp
ci/cd (gitlab ci/cd,3,Ci/Cd (Gitlab Ci/Cd
ms office,3,Ms Office
observability (prometheus,3,Observability (Prometheus
vba,3,Vba
advanced excel,3,Advanced Excel
apache airflow,3,Apache Airflow
atlassian jira,3,Atlassian Jira
snowflake,3,Snowflake
python (django,3,Python (Django
jira/confluence,3,Jira/Confluence
azure,3,Azure
google ads,3,Google Ads
ms sql server,3,Ms Sql Server
xml,3,Xml
negotiation,3,Negotiation
data governance,3,Data Governance
