company_display,company_norm,count
Сбер,Сбер,4
BostonGene,Bostongene,3
Delta Distribution LLC,Delta Distribution,3
Lyft,Lyft,3
Coherent Solutions,Coherent Solutions,3
IntelliVerse,Intelliverse,3
Wargaming,Wargaming,3
AVO Services and Technology,Avo Services And Technology,3
S-HUB Startup Accelerator,S-Hub Startup Accelerator,3
EPAM Systems,Epam Systems,3
Bank CenterCredit,Bank Centercredit,2
Проектная деятельность,Проектная Деятельность,2
ООО ``ИЛАДА ГРУП'',Илада Груп,2
Bar Association ``Right Side'',Bar Association Right Side,2
Национальный банк внешнеэкономической деятельности Республики Узбекистана,Национальный Банк Внешнеэкономической Деятельности Республики Узбекистана,2
